iter	Accuracy	MultiClass
0	0.6291534846	2.338475778
1	0.6373583502	2.221500112
2	0.635608873	2.125376543
3	0.6369011698	2.043625827
4	0.6361635853	1.972790774
5	0.6421922718	1.909848493
6	0.6386506471	1.854271442
7	0.6424421971	1.803986255
8	0.6429298563	1.758541646
9	0.642070357	1.71711613
10	0.6433321751	1.678938736
11	0.6429176648	1.643676155
12	0.6427896543	1.611438527
13	0.6429542393	1.581403972
14	0.6429969095	1.553479995
15	0.643149303	1.527208891
16	0.642984718	1.502995888
17	0.6430761541	1.480332501
18	0.6429908137	1.459012199
19	0.6431310157	1.438106428
20	0.6433809411	1.418741745
21	0.6435577175	1.401052559
22	0.6434967601	1.384200154
23	0.6436186749	1.368446158
24	0.6436613451	1.353178627
25	0.6436735366	1.338964405
26	0.6436430579	1.325495179
27	0.6436613451	1.312722484
28	0.6437588769	1.300309724
29	0.6438137386	1.288768479
30	0.6438076428	1.277818894
31	0.6437588769	1.266885233
32	0.6437649727	1.256737699
33	0.643850313	1.246895792
34	0.6438076428	1.237636772
35	0.6438076428	1.229194875
36	0.6437040153	1.220775811
37	0.6437832599	1.212857065
38	0.6438625045	1.205075529
39	0.6439844193	1.19785833
40	0.6439478449	1.191078621
41	0.6439600363	1.18437879
42	0.644179483	1.177410814
43	0.6442709191	1.170776439
44	0.6446305677	1.164326449
45	0.6449963121	1.157939487
46	0.6451182269	1.151925447
47	0.6453010991	1.146448996
48	0.64551445	1.141099739
49	0.6454595883	1.13611796
50	0.6456180775	1.131323271
51	0.6456119818	1.126771463
52	0.6456363647	1.122334789
53	0.6456790349	1.118094082
54	0.6456973221	1.114237099
55	0.6456851307	1.11050065
56	0.6458436199	1.10673127
57	0.6460447793	1.102687547
58	0.6460569708	1.099410981
59	0.646075258	1.095968528
60	0.6462581302	1.092742401
61	0.6463068961	1.089592888
62	0.6464897683	1.086410239
63	0.6465873001	1.083538966
64	0.6466238746	1.080870307
65	0.6466787362	1.078093245
66	0.6466726405	1.075843493
67	0.6467579808	1.073661647
68	0.6468859914	1.071316018
69	0.6469225658	1.069383672
70	0.6468920871	1.067271597
71	0.6470810551	1.065425455
72	0.6470749593	1.063654364
73	0.6470749593	1.061980216
74	0.6474285122	1.060162713
75	0.6476540546	1.058440231
76	0.6481660967	1.05694062
77	0.6482148626	1.05552158
78	0.6480563734	1.054175743
79	0.6479161714	1.052936299
80	0.6477089162	1.05173472
81	0.6476601503	1.050585649
82	0.6476540546	1.049496659
83	0.6476479588	1.04846935
84	0.6477759694	1.047382974
85	0.6476967248	1.046348765
86	0.6476967248	1.045366444
87	0.6476723418	1.044351557
88	0.6478186396	1.043435257
89	0.6477332992	1.042573902
90	0.6478247353	1.041743936
91	0.647971033	1.040901667
92	0.6480685649	1.04006449
93	0.6481295223	1.039292693
94	0.6483428732	1.038410305
95	0.6483733519	1.03776091
96	0.6485135539	1.037036449
97	0.648440405	1.036312607
98	0.6484221178	1.035601484
99	0.6484221178	1.035054863
