iter	Passed	Remaining
0	2275	225254
1	4495	220263
2	6739	217904
3	8880	213138
4	10972	208471
5	13177	206452
6	15371	204221
7	17619	202626
8	19754	199735
9	22024	198221
10	24408	197490
11	26622	195229
12	28901	193414
13	31342	192533
14	33616	190495
15	35800	187953
16	37979	185427
17	40178	183034
18	42386	180701
19	44569	178276
20	46692	175652
21	48838	173153
22	50959	170603
23	53158	168335
24	55310	165931
25	57539	163765
26	59681	161360
27	61875	159108
28	64056	156828
29	66275	154643
30	68496	152459
31	70752	150349
32	73032	148277
33	75316	146202
34	77516	143958
35	79710	141707
36	81935	139511
37	84057	137146
38	86150	134748
39	88397	132596
40	90499	130231
41	92687	127996
42	94876	125766
43	97159	123657
44	99329	121403
45	101613	119285
46	103774	117022
47	105959	114789
48	108200	112616
49	110346	110346
50	112507	108095
51	114589	105775
52	116745	103529
53	118855	101247
54	121033	99027
55	123235	96828
56	125515	94687
57	127772	92524
58	129915	90279
59	132140	88093
60	134279	85851
61	136511	83668
62	138725	81473
63	140926	79270
64	143207	77111
65	145432	74919
66	147648	72722
67	149850	70517
68	152082	68326
69	154225	66096
70	156424	63891
71	158705	61718
72	160889	59507
73	163128	57315
74	165390	55130
75	167687	52953
76	169235	50550
77	170357	48049
78	172564	45871
79	174840	43710
80	176317	41358
81	177385	38938
82	178111	36480
83	180300	34343
84	181369	32006
85	183649	29896
86	185897	27777
87	188073	25646
88	190252	23514
89	192372	21374
90	193789	19165
91	195883	17033
92	196962	14825
93	199122	12709
94	200573	10556
95	202728	8447
96	203823	6303
97	206057	4205
98	208269	2103
99	209733	0
