iter	Passed	Remaining
0	2181	215921
1	4396	215430
2	6694	216456
3	8949	214777
4	11149	211846
5	13280	208060
6	15451	205285
7	17604	202454
8	19776	199962
9	21909	197185
10	24077	194810
11	26310	192945
12	28443	190351
13	30651	188287
14	32810	185926
15	34902	183240
16	36951	180409
17	39128	178250
18	41242	175821
19	43365	173461
20	45549	171351
21	47727	169215
22	49865	166940
23	52014	164713
24	54182	162546
25	56328	160320
26	58570	158358
27	60817	156388
28	62953	154126
29	65156	152032
30	67352	149913
31	69550	147794
32	71778	145732
33	73938	143527
34	76038	141215
35	78211	139043
36	80275	136686
37	82549	134685
38	84675	132440
39	86881	130322
40	88295	127059
41	90510	124990
42	92706	122889
43	94915	120801
44	97141	118728
45	99341	116618
46	101513	114472
47	103671	112310
48	105814	110133
49	108016	108016
50	110212	105890
51	112418	103770
52	114582	101610
53	116756	99459
54	119004	97367
55	121137	95179
56	123308	93021
57	125581	90938
58	127692	88735
59	129937	86625
60	131960	84368
61	134065	82169
62	136304	80051
63	138536	77926
64	140709	75766
65	142826	73577
66	144986	71411
67	147098	69222
68	149343	67096
69	151546	64948
70	153794	62817
71	155967	60654
72	158233	58524
73	160413	56361
74	162586	54195
75	164727	52019
76	166863	49842
77	169067	47685
78	171275	45528
79	173429	43357
80	175219	41100
81	177447	38951
82	178114	36481
83	179142	34122
84	181000	31941
85	182783	29755
86	184211	27525
87	185651	25316
88	187879	23221
89	189350	21038
90	190434	18834
91	191512	16653
92	192949	14523
93	195138	12455
94	196540	10344
95	198856	8285
96	201086	6219
97	203180	4146
98	205329	2074
99	206417	0
