iter	Accuracy	MultiClass
0	0.6246616926	2.341158762
1	0.6323238973	2.223468962
2	0.6346463317	2.126903466
3	0.6363896813	2.044871192
4	0.63516446	1.973910595
5	0.6411016019	1.910834185
6	0.6366700802	1.855560411
7	0.6427291347	1.805051068
8	0.6427047522	1.75940378
9	0.6424182576	1.717933459
10	0.6431924024	1.679747193
11	0.6430765855	1.644430706
12	0.6429059079	1.612171358
13	0.6429790554	1.582247307
14	0.6428815254	1.554295187
15	0.6428632385	1.528063395
16	0.6426925609	1.503832003
17	0.6429120035	1.481149991
18	0.6427413259	1.459813989
19	0.6432899325	1.439507788
20	0.6435215663	1.420088941
21	0.6435825226	1.402441311
22	0.6435215663	1.385793643
23	0.6436312876	1.369644832
24	0.6437532002	1.354353408
25	0.6437349133	1.340133944
26	0.6437227221	1.326655632
27	0.6437410089	1.313556434
28	0.6436983396	1.301116426
29	0.6436983396	1.289633677
30	0.6437349133	1.278679451
31	0.6437349133	1.267895238
32	0.6437471046	1.257700458
33	0.643838539	1.247845973
34	0.6438263477	1.238547306
35	0.6438202521	1.22990849
36	0.6438933997	1.221429828
37	0.6440579816	1.213388589
38	0.6440396947	1.205942922
39	0.6440640772	1.198719447
40	0.644100651	1.191937905
41	0.6442347548	1.184295498
42	0.6444907712	1.177083362
43	0.6447163095	1.170479531
44	0.6448991783	1.1639351
45	0.6452222466	1.157562943
46	0.6453990198	1.152142534
47	0.6456001756	1.146291371
48	0.6458440007	1.141031052
49	0.6461122083	1.135904316
50	0.6461304952	1.130813698
51	0.6461243996	1.126702717
52	0.6461548777	1.122324598
53	0.6461487821	1.118214288
54	0.6461975471	1.114143432
55	0.6462219296	1.110116151
56	0.6463377466	1.10631809
57	0.646380416	1.102926435
58	0.6464352766	1.099813319
59	0.6464535635	1.096757096
60	0.6466303367	1.093367548
61	0.6468314925	1.090049554
62	0.6469107356	1.08710172
63	0.6469229269	1.084477603
64	0.6469595006	1.081811501
65	0.6470143613	1.079265077
66	0.6470143613	1.076771994
67	0.6470082657	1.074591181
68	0.647117987	1.072466144
69	0.6471728476	1.070167958
70	0.6473618121	1.068025491
71	0.6474532465	1.066174093
72	0.6477397411	1.064401986
73	0.6476848804	1.06241342
74	0.6479165143	1.060770268
75	0.6479957574	1.05892613
76	0.6480262356	1.057516613
77	0.6479713749	1.056169071
78	0.6480628094	1.054558465
79	0.6481847219	1.053277371
80	0.6481786263	1.05195103
81	0.6482761563	1.050730207
82	0.6482761563	1.049640357
83	0.6482395826	1.048581724
84	0.6482456782	1.047539164
85	0.6483736864	1.046470763
86	0.648331017	1.045454472
87	0.6483553995	1.044501316
88	0.6486114159	1.043413985
89	0.6485748421	1.042522985
90	0.6486845634	1.04169438
91	0.6486540853	1.040903157
92	0.6485382684	1.040146019
93	0.6485565552	1.039382472
94	0.6486297028	1.038695649
95	0.6487394241	1.037910565
96	0.6490015361	1.037168903
97	0.6490503011	1.036444616
98	0.649019823	1.035753527
99	0.6490929705	1.035163332
