iter	Accuracy	MultiClass
0	0.6172755977	2.342365142
1	0.6315205598	2.22466582
2	0.6360738275	2.127980008
3	0.6361225908	2.045846504
4	0.6361835448	1.974821494
5	0.641870558	1.911742885
6	0.642547148	1.856438776
7	0.6426020066	1.805995905
8	0.6427361055	1.760832079
9	0.6426934377	1.719323772
10	0.6429555401	1.681075905
11	0.6428092504	1.645660658
12	0.6428458228	1.613372012
13	0.6428153458	1.583243172
14	0.6427604871	1.55524645
15	0.6427543917	1.529027144
16	0.6426690561	1.504790074
17	0.6427970596	1.48211463
18	0.6426812469	1.46077234
19	0.6429616355	1.44045932
20	0.6429860171	1.420978627
21	0.6430043034	1.403353836
22	0.6430835436	1.386483581
23	0.6431323069	1.370329394
24	0.6431505931	1.355195157
25	0.6431140207	1.340795681
26	0.6430713528	1.327285813
27	0.6430774482	1.314203657
28	0.6430530666	1.301723202
29	0.6431201161	1.290251165
30	0.6431749747	1.279239405
31	0.6432115471	1.268466775
32	0.6432785966	1.25818841
33	0.6433090736	1.248358125
34	0.6434492679	1.238592061
35	0.6435224128	1.229940712
36	0.6434187909	1.221425242
37	0.6434980312	1.213382312
38	0.6435346036	1.205875921
39	0.643540699	1.198661247
40	0.6435955577	1.191450467
41	0.6436321301	1.184561606
42	0.6436626071	1.178168953
43	0.6436808933	1.172289617
44	0.6436869887	1.166424404
45	0.6438271831	1.1611237
46	0.6439369004	1.156048293
47	0.6438576601	1.150971251
48	0.6438576601	1.14629852
49	0.6440161406	1.140681524
50	0.6443209109	1.135232938
51	0.6444062466	1.130462983
52	0.6445586317	1.125687565
53	0.6447414939	1.121271819
54	0.6449182606	1.117052579
55	0.6450828366	1.113329122
56	0.6451376952	1.109189662
57	0.6452535079	1.105340187
58	0.6452717941	1.10165289
59	0.6453815114	1.098254008
60	0.6455095149	1.094753743
61	0.6457228541	1.091512835
62	0.6459300979	1.08863214
63	0.6458874301	1.08620159
64	0.6458996209	1.083863353
65	0.6458996209	1.081521719
66	0.6459971474	1.078663081
67	0.6461190555	1.076292478
68	0.6462104865	1.073703043
69	0.6462409636	1.071367333
70	0.6462592498	1.069430001
71	0.6463323946	1.067567585
72	0.6463202038	1.065826543
73	0.646308013	1.064121071
74	0.646308013	1.062578278
75	0.6464116349	1.060713129
76	0.6464664936	1.058761449
77	0.6466005925	1.057184199
78	0.6466615465	1.055834786
79	0.6466188787	1.054559192
80	0.6466615465	1.053305297
81	0.6466859281	1.052169732
82	0.6466432603	1.050882395
83	0.6466493557	1.049735318
84	0.6466798327	1.04857752
85	0.6467225006	1.04744829
86	0.6469297444	1.046482277
87	0.6471552744	1.045431375
88	0.6471918468	1.044370222
89	0.6472345146	1.043416516
90	0.64724061	1.04265797
91	0.64724061	1.041901826
92	0.6473015641	1.040943959
93	0.6473442319	1.040149482
94	0.6474844262	1.039404074
95	0.6475088079	1.038692807
96	0.6474905216	1.037610164
97	0.6475392849	1.036943854
98	0.6475819527	1.036220435
99	0.6475636665	1.035624864
