iter	Passed	Remaining
0	2235	221287
1	4468	218970
2	6699	216601
3	8885	213262
4	11037	209718
5	13187	206603
6	15363	204109
7	17589	202277
8	19772	199922
9	21994	197951
10	24114	195106
11	26441	193901
12	28646	191710
13	30851	189517
14	33054	187306
15	35240	185010
16	37292	182074
17	39545	180149
18	41727	177890
19	43911	175647
20	46077	173340
21	48190	170857
22	50409	168762
23	52558	166435
24	54738	164215
25	56841	161780
26	58929	159328
27	61144	157228
28	63318	155020
29	65474	152774
30	67765	150833
31	70017	148786
32	72246	146682
33	74426	144474
34	76583	142226
35	78867	140209
36	81041	137989
37	83225	135788
38	85430	133622
39	87605	131408
40	89755	129160
41	91956	126987
42	94148	124801
43	96426	122725
44	98593	120502
45	100740	118260
46	102931	116072
47	105324	114101
48	107602	111994
49	110010	110010
50	112191	107791
51	114373	105575
52	116549	103355
53	118725	101136
54	120908	98925
55	123101	96722
56	125307	94529
57	127476	92310
58	129678	90115
59	131833	87889
60	133999	85671
61	136057	83389
62	138207	81169
63	140385	78966
64	142461	76710
65	144665	74524
66	146863	72335
67	149053	70142
68	151244	67950
69	153448	65763
70	155625	63565
71	157831	61378
72	160062	59201
73	162231	57000
74	164429	54809
75	166564	52599
76	168827	50428
77	170982	48225
78	173236	46050
79	175402	43850
80	177573	41652
81	178976	39287
82	181183	37109
83	183364	34926
84	185571	32747
85	187774	30567
86	189267	28281
87	191528	26117
88	193658	23935
89	195875	21763
90	196563	19440
91	197626	17184
92	199763	15035
93	201616	12869
94	203930	10733
95	205764	8573
96	207926	6430
97	210023	4286
98	212204	2143
99	214477	0
