iter	Passed	Remaining
0	1420	140649
1	3104	152100
2	4572	147854
3	5939	142544
4	7402	140645
5	8864	138879
6	11242	149361
7	13664	157139
8	15924	161010
9	18262	164360
10	20469	165613
11	22747	166812
12	25336	169560
13	27999	171994
14	30819	174642
15	33419	175451
16	35891	175235
17	38422	175033
18	41068	175081
19	43748	174993
20	46276	174088
21	48756	172862
22	51312	171785
23	53891	170657
24	56284	168853
25	58841	167472
26	61300	165737
27	63821	164112
28	66360	162467
29	68890	160744
30	71305	158713
31	73745	156709
32	76366	155046
33	78939	153234
34	81581	151509
35	84154	149607
36	86606	147465
37	89000	145210
38	91384	142934
39	93818	140727
40	95422	137315
41	97842	135115
42	100228	132861
43	102561	130532
44	105000	128334
45	107385	126061
46	109772	123786
47	112108	121450
48	114452	119123
49	116945	116945
50	119202	114527
51	121779	112412
52	124122	110070
53	126396	107671
54	128767	105355
55	131160	103054
56	133456	100677
57	135823	98355
58	138476	96229
59	141116	94077
60	143614	91819
61	146152	89577
62	148447	87183
63	150810	84831
64	153198	82491
65	155871	80297
66	158167	77903
67	160364	75465
68	162538	73024
69	164772	70616
70	166981	68203
71	169142	65777
72	171376	63385
73	173613	60999
74	175773	58591
75	178009	56213
76	180262	53844
77	182459	51462
78	184630	49079
79	185690	46422
80	187197	43910
81	189343	41563
82	190052	38926
83	192197	36609
84	194432	34311
85	196598	32004
86	198796	29705
87	200993	27408
88	203204	25115
89	205340	22815
90	207461	20518
91	209683	18233
92	211868	15947
93	213995	13659
94	216198	11378
95	218470	9102
96	219163	6778
97	221416	4518
98	223617	2258
99	225906	0
