iter	Accuracy	MultiClass
0	0.6369560314	2.336819587
1	0.636895074	2.220232995
2	0.6368889783	2.124369429
3	0.638510445	2.042748851
4	0.6386506471	1.972661636
5	0.6407719645	1.910079179
6	0.6373705417	1.854900131
7	0.6418874848	1.804389694
8	0.6388883809	1.758902508
9	0.6389005724	1.71744033
10	0.6426860267	1.67923063
11	0.6425884949	1.64473324
12	0.6425519205	1.612455197
13	0.6425884949	1.582569779
14	0.6426006864	1.554774696
15	0.6427104097	1.528351408
16	0.6425580162	1.504091841
17	0.6425275375	1.481053089
18	0.6429908137	1.459493421
19	0.643405324	1.439170995
20	0.6437771641	1.420270122
21	0.6437771641	1.402666064
22	0.6438015471	1.385785126
23	0.6438442173	1.370096146
24	0.643874696	1.354951445
25	0.6438807917	1.340639196
26	0.6438259301	1.327224099
27	0.6438564088	1.314133138
28	0.6442221531	1.301425404
29	0.6442099617	1.289861087
30	0.6444111211	1.278917096
31	0.6443623551	1.26842024
32	0.6445452273	1.257752595
33	0.644624472	1.247894647
34	0.6445878975	1.238835599
35	0.6445696103	1.230213254
36	0.6446305677	1.221675837
37	0.644764674	1.213543526
38	0.6447159081	1.205659013
39	0.6448865888	1.198252724
40	0.644880493	1.191472923
41	0.644880493	1.184446783
42	0.6449353547	1.177476472
43	0.6451913757	1.170851743
44	0.645490067	1.164319689
45	0.6456973221	1.157892133
46	0.6457765668	1.151849488
47	0.6458192369	1.146383769
48	0.6458131412	1.141042939
49	0.6458497156	1.136052512
50	0.6459533432	1.131255645
51	0.6459289602	1.126713199
52	0.645935056	1.122378708
53	0.6459167688	1.118084982
54	0.6459228645	1.114059071
55	0.6459594389	1.110691317
56	0.6459167688	1.107200243
57	0.6459777262	1.103328745
58	0.6460386836	1.099892793
59	0.6459960134	1.096627759
60	0.6460874495	1.093147858
61	0.646099641	1.090540291
62	0.6461971728	1.087348563
63	0.6463434705	1.084319909
64	0.6462764174	1.081912982
65	0.6464531939	1.079609214
66	0.6463678535	1.077201287
67	0.6464044279	1.074652165
68	0.6465141513	1.07244598
69	0.6465568214	1.069976163
70	0.6466482575	1.067790066
71	0.6491048406	1.065474612
72	0.6491536065	1.063726294
73	0.6491779895	1.06187209
74	0.6493181915	1.059816926
75	0.6493181915	1.058269998
76	0.6493608617	1.056754904
77	0.6493181915	1.055263951
78	0.6493120958	1.053839073
79	0.649306	1.052620424
80	0.6493242873	1.051418027
81	0.647105438	1.050090651
82	0.6471115337	1.049037282
83	0.6472883102	1.047879943
84	0.6474041293	1.046700209
85	0.6473553633	1.045585819
86	0.6474467994	1.044535975
87	0.647690629	1.043516132
88	0.6477211077	1.042569406
89	0.6481904797	1.04143536
90	0.6481904797	1.040580031
91	0.6483306817	1.039745447
92	0.6482209584	1.038985495
93	0.6483123945	1.038223786
94	0.6484099263	1.037470897
95	0.6484708837	1.036712031
96	0.6483733519	1.036114506
97	0.6483489689	1.035458948
98	0.6484830752	1.034875379
99	0.6485257454	1.034218044
